Year_of_death,Age_group,Gender,Count
2017,<20,Female,9
2017,<20,Female,8
2017,<20,Male,13
2017,<20,Male,10
2017,20-39,Male,16
2018,<20,Male,9
2018,20-39,Male,8
2018,<20,Male,9
2018,20-39,Female,10
2018,<20,Male,10
2019,<20,Male,14
2019,20-39,Male,9
2019,60+,Male,9
2019,60+,Male,10
2019,20-39,Male,12
2020,<20,Male,13
2020,20-39,Male,12
2020,<20,Male,7
2020,20-39,Female,8
2020,<20,Male,12
2021,40-59,Male,9
2021,40-59,Female,4
2021,<20,Male,15
2021,<20,Male,13
2021,60+,Male,16
2022,40-59,Female,10
2022,20-39,Female,15
2022,<20,Male,7
2022,20-39,Male,8
2022,<20,Male,4
2023,<20,Female,10
2023,<20,Male,11
2023,40-59,Male,6
2023,<20,Female,13
2023,20-39,Male,9
